"","x"
"969","where they  begging him stupid bastard do you even know who alao akala is or"
"970","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"971","is  much indomie enough  you sir"
"972","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"973","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"974","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"975","takeindomietoworkbeing a night guard i have to carry my indomie to work cause the night can get cold a"
"976","whenever you see a girl buyin indomie with oversized slippers amp shirt 
bro respect yourself dont toast her shes in"
"977","someone should pls add banga spice to their indomie  let me know"
"978","the right way to eat indomie is  plenty pepper"
"979","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"980","the right way to eat indomie is  plenty pepper"
"981","whenever you see a girl buyin indomie with oversized slippers amp shirt 
bro respect yourself dont toast her shes in"
"982","takeindomietoworkbeing a night guard i have to carry my indomie to work cause the night can get"
"983","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"984","im craving indomie  bread  eggs  evening o is it bad to eat it  late"
"985","today i used weed to cook indomie
my mom ate it  she has been sleeping since morning🤣"
"986","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"987","indomienengi fine scattercongratulations queen congratulations queen 
nengixguinness nengixguinness"
"988","please sir i dont make indomie music too kindly gimme a chance to make a timeless music  you 
ive got a lot of son"
"989","indomienengi fine scattercongratulations queen congratulations queen 
nengixguinness nengixguinness"
"990","indomienengi fine scattercongratulations queen congratulations queen 
nengixguinness nengixguinness"
"991","youre a legend if you used  pen in basic school the indomie generation can you shift to the back 🤣🤣🤣

flashback f"
"992","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"993","indomienengi fine scattercongratulations queen congratulations queen 
nengixguinness nengixguinness"
"994","today i used weed to cook indomie
my mom ate it  she has been sleeping since morning🤣"
"995","if you took money from your parents to buy spectacles duringeclipse kindly comment the indomie generation babies sh"
"996","hey guys i sell spaghetti  indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling"
"997","whenever you see a girl buyin indomie with oversized slippers amp shirt 
bro respect yourself dont toast her shes in"
"998","don baba j make i dae count am  you during bbnaija you share money you no gimme you share generator upon sa"
"999","naso indomie no take sign eric oh"
"1000","youre a legend if you used  pen in basic school the indomie generation can you shift to the back 🤣🤣🤣

flashback f"
